chromosome,gene_id,transcript_id,gene_name,strand
chr18,ENSG00000078043.16,ENST00000585916.6,PIAS2,-
chr18,ENSG00000167216.19,ENST00000683218.1,KATNAL2,+
chr18,ENSG00000206181.7,ENST00000332567.6,ELOA2,-
chr18,ENSG00000167220.12,ENST00000300605.11,HDHD2,-
chr18,ENSG00000215474.8,ENST00000425639.3,SKOR2,-
chr18,ENSG00000175387.16,ENST00000262160.11,SMAD2,-
chr18,ENSG00000184828.10,ENST00000590800.6,ZBTB7C,-
chr18,ENSG00000134030.14,ENST00000256413.8,CTIF,+
chr18,ENSG00000101665.10,ENST00000262158.8,SMAD7,-
chr18,ENSG00000141627.14,ENST00000675505.1,DYM,-
chr18,ENSG00000177576.12,ENST00000318240.8,C18orf32,-
chr18,ENSG00000101670.12,ENST00000261292.9,LIPG,+
chr18,ENSG00000167315.18,ENST00000285093.15,ACAA2,-
chr18,ENSG00000167306.21,ENST00000285039.12,MYO5B,-
chr18,ENSG00000172361.6,ENST00000398545.5,CFAP53,-
chr18,ENSG00000141644.19,ENST00000269468.10,MBD1,-
chr18,ENSG00000154832.16,ENST00000285106.11,CXXC1,-
chr18,ENSG00000154839.10,ENST00000285116.8,SKA1,+
chr18,ENSG00000141639.12,ENST00000400384.7,MAPK4,+
chr18,ENSG00000134042.14,ENST00000398439.8,MRO,-
chr18,ENSG00000082212.13,ENST00000321341.11,ME2,+
chr18,ENSG00000141642.9,ENST00000269466.8,ELAC1,+
chr18,ENSG00000141646.17,ENST00000342988.8,SMAD4,+
chr18,ENSG00000176624.12,ENST00000406189.4,MEX3C,-
chr18,ENSG00000187323.13,ENST00000442544.7,DCC,+
chr18,ENSG00000134046.12,ENST00000256429.8,MBD2,-
chr18,ENSG00000101751.11,ENST00000579534.6,POLI,+
chr18,ENSG00000174448.9,ENST00000307844.4,STARD6,-
chr18,ENSG00000166845.15,ENST00000620105.5,C18orf54,+
chr18,ENSG00000178690.4,ENST00000648945.2,DYNAP,+
chr18,ENSG00000041353.10,ENST00000262094.10,RAB27B,+
chr18,ENSG00000166510.14,ENST00000591504.6,CCDC68,-
chr18,ENSG00000196628.20,ENST00000354452.8,TCF4,-
chr18,ENSG00000091164.13,ENST00000217515.11,TXNL1,-
chr18,ENSG00000091157.15,ENST00000254442.8,WDR7,+
chr18,ENSG00000228075.5,ENST00000585477.2,BOD1L2,+
chr18,ENSG00000177511.6,ENST00000324000.4,ST8SIA3,+
chr18,ENSG00000119547.6,ENST00000491143.3,ONECUT2,+
chr18,ENSG00000066926.13,ENST00000262093.11,FECH,-
chr18,ENSG00000134440.12,ENST00000256854.10,NARS1,-
chr18,ENSG00000081923.15,ENST00000648908.2,ATP8B1,-
chr18,ENSG00000049759.20,ENST00000400345.8,NEDD4L,+
chr18,ENSG00000198796.7,ENST00000361673.4,ALPK2,-
chr18,ENSG00000172175.16,ENST00000649217.2,MALT1,+
chr18,ENSG00000074657.14,ENST00000591808.6,ZNF532,+
chr18,ENSG00000166562.10,ENST00000587834.6,SEC11C,+
chr18,ENSG00000134443.10,ENST00000256857.7,GRP,+
chr18,ENSG00000134438.10,ENST00000334889.4,RAX,-
chr18,ENSG00000166569.8,ENST00000299721.3,CPLX4,-
chr18,ENSG00000074695.6,ENST00000251047.6,LMAN1,-
chr18,ENSG00000183287.15,ENST00000439986.9,CCBE1,-
chr18,ENSG00000141682.12,ENST00000316660.7,PMAIP1,+
chr18,ENSG00000166603.5,ENST00000299766.5,MC4R,-
chr18,ENSG00000101542.10,ENST00000262717.9,CDH20,+
chr18,ENSG00000176641.11,ENST00000312828.4,RNF152,-
chr18,ENSG00000197563.11,ENST00000640252.2,PIGN,-
chr18,ENSG00000134444.15,ENST00000644646.2,RELCH,+
chr18,ENSG00000141655.18,ENST00000586569.3,TNFRSF11A,+
chr18,ENSG00000141664.10,ENST00000269499.10,ZCCHC2,+
chr18,ENSG00000081913.14,ENST00000262719.10,PHLPP1,+
chr18,ENSG00000171791.14,ENST00000333681.5,BCL2,-
chr18,ENSG00000119537.18,ENST00000645214.2,KDSR,-
chr18,ENSG00000119541.10,ENST00000238497.10,VPS4B,-
chr18,ENSG00000206075.14,ENST00000382771.9,SERPINB5,+
chr18,ENSG00000166634.7,ENST00000382768.2,SERPINB12,+
chr18,ENSG00000197641.12,ENST00000344731.10,SERPINB13,+
chr18,ENSG00000206073.11,ENST00000341074.10,SERPINB4,-
chr18,ENSG00000057149.16,ENST00000283752.10,SERPINB3,-
chr18,ENSG00000206072.13,ENST00000544088.6,SERPINB11,+
chr18,ENSG00000166396.13,ENST00000398019.7,SERPINB7,+
chr18,ENSG00000197632.9,ENST00000299502.9,SERPINB2,+
chr18,ENSG00000242550.7,ENST00000238508.8,SERPINB10,+
chr18,ENSG00000221887.6,ENST00000408945.5,HMSD,+
chr18,ENSG00000166401.15,ENST00000397985.7,SERPINB8,+
chr18,ENSG00000081138.14,ENST00000397968.4,CDH7,+
chr18,ENSG00000071991.9,ENST00000262150.7,CDH19,-
chr18,ENSG00000171451.15,ENST00000310045.9,DSEL,-
chr18,ENSG00000166479.10,ENST00000299608.7,TMX3,-
chr18,ENSG00000150636.17,ENST00000360242.9,CCDC102B,+
chr18,ENSG00000206052.11,ENST00000382713.10,DOK6,+
chr18,ENSG00000150637.9,ENST00000582621.6,CD226,-
chr18,ENSG00000176225.15,ENST00000640769.2,RTTN,-
chr18,ENSG00000170677.6,ENST00000397942.4,SOCS6,+
chr18,ENSG00000141668.10,ENST00000269503.9,CBLN2,-
chr18,ENSG00000166342.19,ENST00000327305.11,NETO1,-
chr18,ENSG00000141665.13,ENST00000419743.7,FBXO15,-
chr18,ENSG00000075336.12,ENST00000169551.11,TIMM21,+
chr18,ENSG00000166347.19,ENST00000340533.9,CYB5A,-
chr18,ENSG00000206043.7,ENST00000579455.2,C18orf63,+
chr18,ENSG00000187773.9,ENST00000343998.8,DIPK1C,-
chr18,ENSG00000133313.15,ENST00000324262.9,CNDP2,+
chr18,ENSG00000150656.15,ENST00000358821.8,CNDP1,+
chr18,ENSG00000215421.10,ENST00000299687.10,ZNF407,+
chr18,ENSG00000180011.7,ENST00000322342.4,PTGR3,-
chr18,ENSG00000179981.11,ENST00000580243.3,TSHZ1,+
chr18,ENSG00000206026.7,ENST00000579022.5,SMIM21,-
chr18,ENSG00000101493.11,ENST00000443185.7,ZNF516,-
chr18,ENSG00000130856.18,ENST00000320610.14,ZNF236,+
chr18,ENSG00000197971.16,ENST00000355994.7,MBP,-
chr18,ENSG00000166573.6,ENST00000299727.5,GALR1,+
chr18,ENSG00000256463.10,ENST00000537592.7,SALL3,+
chr18,ENSG00000166377.21,ENST00000426216.6,ATP9B,+
chr18,ENSG00000131196.18,ENST00000427363.7,NFATC1,+
chr18,ENSG00000060069.18,ENST00000613122.5,CTDP1,+
chr18,ENSG00000178342.5,ENST00000316249.4,KCNG2,+
chr18,ENSG00000122490.19,ENST00000397778.7,SLC66A2,-
chr18,ENSG00000226742.4,ENST00000451882.3,HSBP1L1,+
chr18,ENSG00000141759.15,ENST00000269601.10,TXNL4A,-
chr18,ENSG00000101546.13,ENST00000306735.10,RBFA,+
chr18,ENSG00000101544.9,ENST00000262198.9,ADNP2,+
chr18,ENSG00000178184.16,ENST00000353265.8,PARD6G,-
chr19,ENSG00000176695.8,ENST00000585993.3,OR4F17,+
chr19,ENSG00000141934.10,ENST00000434325.7,PLPP2,-
chr19,ENSG00000105556.12,ENST00000264819.7,MIER2,-
chr19,ENSG00000105549.11,ENST00000342640.9,SPMAP2,-
chr19,ENSG00000183186.8,ENST00000332235.8,C2CD4C,-
chr19,ENSG00000129946.11,ENST00000264554.11,SHC2,-
chr19,ENSG00000181781.10,ENST00000315489.5,CIMAP1D,-
chr19,ENSG00000099866.16,ENST00000215637.8,MADCAM1,+
chr19,ENSG00000141933.9,ENST00000359315.6,TPGS1,+
chr19,ENSG00000099804.9,ENST00000215574.9,CDC34,+
chr19,ENSG00000197540.8,ENST00000264553.6,GZMM,+
chr19,ENSG00000172270.22,ENST00000333511.9,BSG,+
chr19,ENSG00000099822.3,ENST00000251287.3,HCN2,+
chr19,ENSG00000099821.14,ENST00000588649.7,POLRMT,-
chr19,ENSG00000070388.12,ENST00000215530.7,FGF22,+
chr19,ENSG00000070423.18,ENST00000292363.10,RNF126,-
chr19,ENSG00000070404.10,ENST00000166139.9,FSTL3,+
chr19,ENSG00000185198.12,ENST00000329267.9,PRSS57,-
chr19,ENSG00000099864.18,ENST00000338448.10,PALM,+
chr19,ENSG00000099812.9,ENST00000215582.8,MISP,+
chr19,ENSG00000011304.22,ENST00000356948.11,PTBP1,+
chr19,ENSG00000129951.19,ENST00000520876.8,PLPPR3,-
chr19,ENSG00000172232.10,ENST00000233997.4,AZU1,+
chr19,ENSG00000196415.10,ENST00000234347.10,PRTN3,+
chr19,ENSG00000197561.7,ENST00000263621.2,ELANE,+
chr19,ENSG00000197766.9,ENST00000327726.11,CFD,+
chr19,ENSG00000175221.16,ENST00000325464.6,MED16,-
chr19,ENSG00000198858.10,ENST00000361574.10,R3HDM4,-
chr19,ENSG00000116014.10,ENST00000234371.10,KISS1R,+
chr19,ENSG00000116017.11,ENST00000263620.8,ARID3A,+
chr19,ENSG00000065268.11,ENST00000585809.6,WDR18,+
chr19,ENSG00000116032.5,ENST00000234389.3,GRIN3B,+
chr19,ENSG00000182087.14,ENST00000356663.8,TMEM259,-
chr19,ENSG00000064666.15,ENST00000263097.9,CNN2,+
chr19,ENSG00000064687.13,ENST00000263094.11,ABCA7,+
chr19,ENSG00000180448.11,ENST00000313093.7,ARHGAP45,+
chr19,ENSG00000099817.12,ENST00000615234.5,POLR2E,-
chr19,ENSG00000167468.20,ENST00000354171.13,GPX4,+
chr19,ENSG00000064932.16,ENST00000361757.8,SBNO2,-
chr19,ENSG00000118046.18,ENST00000326873.12,STK11,+
chr19,ENSG00000099625.14,ENST00000650044.2,CBARP,-
chr19,ENSG00000099624.8,ENST00000215375.7,ATP5F1D,+
chr19,ENSG00000167470.14,ENST00000682408.1,MIDN,+
chr19,ENSG00000099622.14,ENST00000587896.6,CIRBP,+
chr19,ENSG00000228300.14,ENST00000409293.6,FAM174C,+
chr19,ENSG00000099617.4,ENST00000215368.4,EFNA2,+
chr19,ENSG00000160953.17,ENST00000591337.7,PWWP3A,+
chr19,ENSG00000115286.21,ENST00000233627.14,NDUFS7,+
chr19,ENSG00000130005.13,ENST00000252288.8,GAMT,-
chr19,ENSG00000071626.17,ENST00000233078.9,DAZAP1,+
chr19,ENSG00000115268.10,ENST00000592588.7,RPS15,+
chr19,ENSG00000115266.12,ENST00000590469.6,APC2,+
chr19,ENSG00000119559.17,ENST00000585675.6,C19orf25,-
chr19,ENSG00000115257.15,ENST00000300954.10,PCSK4,-
chr19,ENSG00000115255.12,ENST00000233596.8,REEP6,+
chr19,ENSG00000185761.11,ENST00000330475.9,ADAMTSL5,-
chr19,ENSG00000185988.15,ENST00000454744.7,PLK5,+
chr19,ENSG00000181588.17,ENST00000402693.5,MEX3D,-
chr19,ENSG00000071655.18,ENST00000434436.8,MBD3,-
chr19,ENSG00000071564.19,ENST00000262965.12,TCF3,-
chr19,ENSG00000205922.5,ENST00000382349.5,ONECUT3,+
chr19,ENSG00000130270.16,ENST00000310127.10,ATP8B3,-
chr19,ENSG00000079313.15,ENST00000170168.9,REXO1,-
chr19,ENSG00000129911.9,ENST00000250916.6,KLF16,-
chr19,ENSG00000129968.17,ENST00000292577.12,ABHD17A,-
chr19,ENSG00000213638.6,ENST00000329478.4,ADAT3,+
chr19,ENSG00000227500.11,ENST00000316097.13,SCAMP4,+
chr19,ENSG00000133275.16,ENST00000255641.13,CSNK1G2,+
chr19,ENSG00000133243.10,ENST00000255608.9,BTBD2,-
chr19,ENSG00000099875.16,ENST00000250896.9,MKNK2,-
chr19,ENSG00000172081.14,ENST00000357066.8,MOB3A,-
chr19,ENSG00000099840.14,ENST00000395301.8,IZUMO4,+
chr19,ENSG00000065000.20,ENST00000643116.3,AP3D1,-
chr19,ENSG00000104885.19,ENST00000398665.8,DOT1L,+
chr19,ENSG00000104886.12,ENST00000326631.7,PLEKHJ1,-
chr19,ENSG00000104897.10,ENST00000221494.10,SF3A2,+
chr19,ENSG00000104899.8,ENST00000221496.5,AMH,+
chr19,ENSG00000167476.10,ENST00000300961.10,JSRP1,-
chr19,ENSG00000104904.13,ENST00000602676.6,OAZ1,+
chr19,ENSG00000188305.6,ENST00000342063.5,PEAK3,-
chr19,ENSG00000220008.4,ENST00000698372.1,LINGO3,-
chr19,ENSG00000130332.15,ENST00000252622.15,LSM7,-
chr19,ENSG00000005206.17,ENST00000613503.5,SPPL2B,+
chr19,ENSG00000178297.15,ENST00000696167.1,TMPRSS9,+
chr19,ENSG00000099800.8,ENST00000215570.8,TIMM13,-
chr19,ENSG00000176619.13,ENST00000325327.4,LMNB2,-
chr19,ENSG00000099860.10,ENST00000215631.9,GADD45B,+
chr19,ENSG00000176533.13,ENST00000382159.8,GNG7,-
chr19,ENSG00000176490.5,ENST00000323469.5,DIRAS1,-
chr19,ENSG00000141873.11,ENST00000269740.9,SLC39A3,-
chr19,ENSG00000104969.11,ENST00000221566.7,SGTA,-
chr19,ENSG00000172009.15,ENST00000307741.11,THOP1,+
chr19,ENSG00000172006.12,ENST00000317243.10,ZNF554,+
chr19,ENSG00000186300.12,ENST00000334241.9,ZNF555,+
chr19,ENSG00000172000.7,ENST00000307635.3,ZNF556,+
chr19,ENSG00000171970.14,ENST00000306908.10,ZNF57,+
chr19,ENSG00000175691.9,ENST00000314531.5,ZNF77,-
chr19,ENSG00000104953.20,ENST00000246112.9,TLE6,+
chr19,ENSG00000065717.16,ENST00000262953.11,TLE2,-
chr19,ENSG00000104964.15,ENST00000327141.9,TLE5,-
chr19,ENSG00000088256.9,ENST00000078429.9,GNA11,+
chr19,ENSG00000060558.4,ENST00000262958.4,GNA15,+
chr19,ENSG00000125910.6,ENST00000246115.5,S1PR4,+
chr19,ENSG00000125912.11,ENST00000246117.9,NCLN,+
chr19,ENSG00000161082.13,ENST00000292672.7,CELF5,+
chr19,ENSG00000141905.19,ENST00000443272.3,NFIC,+
chr19,ENSG00000095932.7,ENST00000215531.6,SMIM24,-
chr19,ENSG00000284638.2,ENST00000641816.2,SMIM44,-
chr19,ENSG00000129932.10,ENST00000427575.6,DOHH,-
chr19,ENSG00000105325.15,ENST00000441788.7,FZR1,+
chr19,ENSG00000183397.6,ENST00000329493.6,TEKTIP1,+
chr19,ENSG00000161091.15,ENST00000355415.7,MFSD12,-
chr19,ENSG00000064961.19,ENST00000333651.11,HMG20B,+
chr19,ENSG00000179855.9,ENST00000644452.3,GIPC3,+
chr19,ENSG00000006638.13,ENST00000375190.10,TBXA2R,-
chr19,ENSG00000105298.14,ENST00000429344.7,CACTIN,-
chr19,ENSG00000186111.11,ENST00000335312.8,PIP5K1C,-
chr19,ENSG00000105289.15,ENST00000541714.7,TJP3,+
chr19,ENSG00000011132.12,ENST00000316757.4,APBA3,-
chr19,ENSG00000183617.5,ENST00000330133.5,MRPL54,+
chr19,ENSG00000173976.16,ENST00000555633.3,RAX2,-
chr19,ENSG00000007264.15,ENST00000310132.11,MATK,-
chr19,ENSG00000105278.12,ENST00000262961.9,ZFR2,-
chr19,ENSG00000167654.18,ENST00000450849.7,ATCAY,+
chr19,ENSG00000077009.14,ENST00000168977.7,NMRK2,+
chr19,ENSG00000167657.14,ENST00000545797.7,DAPK3,-
chr19,ENSG00000167658.16,ENST00000309311.7,EEF2,-
chr19,ENSG00000105229.7,ENST00000262971.3,PIAS4,+
chr19,ENSG00000178951.9,ENST00000322357.9,ZBTB7A,-
chr19,ENSG00000126934.15,ENST00000262948.10,MAP2K2,-
chr19,ENSG00000060566.14,ENST00000078445.7,CREB3L3,+
chr19,ENSG00000077463.15,ENST00000337491.7,SIRT6,-
chr19,ENSG00000089847.13,ENST00000318934.9,ANKRD24,+
chr19,ENSG00000105246.6,ENST00000221847.6,EBI3,+
chr19,ENSG00000105248.16,ENST00000262962.12,YJU2,+
chr19,ENSG00000105251.11,ENST00000543264.7,SHD,+
chr19,ENSG00000167664.9,ENST00000595645.6,TMIGD2,-
chr19,ENSG00000105255.11,ENST00000221856.11,FSD1,+
chr19,ENSG00000178078.12,ENST00000594605.6,STAP2,-
chr19,ENSG00000008382.16,ENST00000599840.6,MPND,+
chr19,ENSG00000141985.9,ENST00000269886.7,SH3GL1,-
chr19,ENSG00000167670.16,ENST00000301280.10,CHAF1A,+
chr19,ENSG00000167671.12,ENST00000301281.11,UBXN6,-
chr19,ENSG00000167674.15,ENST00000616600.5,HDGFL2,+
chr19,ENSG00000167676.5,ENST00000301286.5,PLIN4,-
chr19,ENSG00000214456.8,ENST00000381848.7,PLIN5,-
chr19,ENSG00000171236.10,ENST00000306390.7,LRG1,-
chr19,ENSG00000167680.18,ENST00000586582.6,SEMA6B,-
chr19,ENSG00000185361.9,ENST00000327473.9,TNFAIP8L1,+
chr19,ENSG00000074842.8,ENST00000262947.8,MYDGF,-
chr19,ENSG00000142002.19,ENST00000262960.14,DPP9,-
chr19,ENSG00000141965.5,ENST00000269856.5,FEM1A,+
chr19,ENSG00000127666.11,ENST00000248244.6,TICAM1,-
chr19,ENSG00000105355.9,ENST00000221957.9,PLIN3,-
chr19,ENSG00000205784.5,ENST00000650722.2,ARRDC5,-
chr19,ENSG00000276043.5,ENST00000650932.1,UHRF1,+
chr19,ENSG00000127663.16,ENST00000159111.9,KDM4B,+
chr19,ENSG00000105426.19,ENST00000262963.11,PTPRS,-
chr19,ENSG00000105428.6,ENST00000222033.6,ZNRF4,+
chr19,ENSG00000223573.7,ENST00000448587.6,TINCR,-
chr19,ENSG00000130254.13,ENST00000252542.9,SAFB2,-
chr19,ENSG00000160633.13,ENST00000588852.2,SAFB,+
chr19,ENSG00000174917.9,ENST00000309324.9,MICOS13,-
chr19,ENSG00000167733.14,ENST00000339423.7,HSD11B1L,+
chr19,ENSG00000130255.13,ENST00000347512.8,RPL36,+
chr19,ENSG00000196365.12,ENST00000360614.8,LONP1,-
chr19,ENSG00000174898.16,ENST00000381624.4,CATSPERD,+
chr19,ENSG00000212123.4,ENST00000419421.3,PRR22,-
chr19,ENSG00000141994.16,ENST00000309061.12,DUS3L,-
chr19,ENSG00000171119.3,ENST00000303212.3,NRTN,+
chr19,ENSG00000156413.15,ENST00000318336.10,FUT6,-
chr19,ENSG00000171124.14,ENST00000303225.12,FUT3,-
chr19,ENSG00000130383.7,ENST00000588525.1,FUT5,-
chr19,ENSG00000174886.15,ENST00000308961.5,NDUFA11,-
chr19,ENSG00000187650.4,ENST00000339485.4,VMAC,+
chr19,ENSG00000105519.18,ENST00000588776.8,CAPS,+
chr19,ENSG00000031823.14,ENST00000340578.10,RANBP3,-
chr19,ENSG00000087903.13,ENST00000303657.10,RFX2,-
chr19,ENSG00000130377.14,ENST00000588485.6,ACSBG2,+
chr19,ENSG00000130382.9,ENST00000252674.9,MLLT1,-
chr19,ENSG00000167769.5,ENST00000301452.5,ACER1,-
chr19,ENSG00000125656.12,ENST00000245816.11,CLPP,+
chr19,ENSG00000125652.8,ENST00000245812.8,ALKBH7,+
chr19,ENSG00000125650.5,ENST00000245810.2,PSPN,-
chr19,ENSG00000125651.14,ENST00000394456.10,GTF2F1,-
chr19,ENSG00000088247.19,ENST00000600480.2,KHSRP,-
chr19,ENSG00000181240.14,ENST00000321510.7,SLC25A41,-
chr19,ENSG00000125648.15,ENST00000301454.9,SLC25A23,-
chr19,ENSG00000130545.16,ENST00000600229.6,CRB3,+
chr19,ENSG00000205744.10,ENST00000381480.7,DENND1C,-
chr19,ENSG00000104833.12,ENST00000264071.7,TUBB4A,-
chr19,ENSG00000125657.5,ENST00000245817.5,TNFSF9,+
chr19,ENSG00000125726.11,ENST00000245903.4,CD70,-
chr19,ENSG00000125735.12,ENST00000675206.1,TNFSF14,-
chr19,ENSG00000125730.18,ENST00000245907.11,C3,-
chr19,ENSG00000125734.16,ENST00000264080.12,GPR108,-
chr19,ENSG00000125733.18,ENST00000313244.14,TRIP10,+
chr19,ENSG00000125731.13,ENST00000245908.11,SH2D3A,-
chr19,ENSG00000141968.8,ENST00000602142.6,VAV1,+
chr19,ENSG00000174837.15,ENST00000312053.9,ADGRE1,+
chr19,ENSG00000196589.8,ENST00000636986.2,MBD3L2B,-
chr19,ENSG00000237247.6,ENST00000329753.5,MBD3L5,+
chr19,ENSG00000205718.10,ENST00000381394.9,MBD3L4,-
chr19,ENSG00000230522.5,ENST00000381393.3,MBD3L2,+
chr19,ENSG00000182315.10,ENST00000333843.9,MBD3L3,-
chr19,ENSG00000130544.12,ENST00000252840.11,ZNF557,+
chr19,ENSG00000171105.14,ENST00000302850.10,INSR,-
chr19,ENSG00000104880.19,ENST00000668164.2,ARHGEF18,+
chr19,ENSG00000104883.8,ENST00000221480.6,PEX11G,-
chr19,ENSG00000198723.11,ENST00000361664.7,SAXO5,+
chr19,ENSG00000198816.7,ENST00000597229.2,ZNF358,+
chr19,ENSG00000090674.16,ENST00000264079.11,MCOLN1,+
chr19,ENSG00000032444.17,ENST00000600737.6,PNPLA6,+
chr19,ENSG00000076826.10,ENST00000160298.9,CAMSAP3,+
chr19,ENSG00000076924.12,ENST00000358368.5,XAB2,-
chr19,ENSG00000229833.11,ENST00000594797.6,PET100,+
chr19,ENSG00000174788.10,ENST00000311069.6,PCP2,-
chr19,ENSG00000076944.18,ENST00000221283.10,STXBP2,+
chr19,ENSG00000104918.8,ENST00000221515.6,RETN,+
chr19,ENSG00000183019.8,ENST00000333598.8,MCEMP1,+
chr19,ENSG00000181029.9,ENST00000596148.3,TRAPPC5,+
chr19,ENSG00000104921.15,ENST00000597921.6,FCER2,-
chr19,ENSG00000182566.15,ENST00000328853.11,CLEC4G,-
chr19,ENSG00000090659.18,ENST00000315599.12,CD209,-
chr19,ENSG00000104938.18,ENST00000327325.10,CLEC4M,+
chr19,ENSG00000142459.9,ENST00000538904.7,EVI5L,+
chr19,ENSG00000183248.12,ENST00000618550.5,PRR36,-
chr19,ENSG00000171017.11,ENST00000306708.11,LRRC8E,+
chr19,ENSG00000076984.18,ENST00000397979.4,MAP2K7,+
chr19,ENSG00000260001.8,ENST00000713907.1,TGFBR3L,+
chr19,ENSG00000104976.13,ENST00000221573.11,SNAPC2,+
chr19,ENSG00000178531.6,ENST00000318978.6,CTXN1,-
chr19,ENSG00000104980.8,ENST00000270538.8,TIMM44,-
chr19,ENSG00000066044.15,ENST00000407627.7,ELAVL1,-
chr19,ENSG00000131142.14,ENST00000315626.6,CCL25,+
chr19,ENSG00000142449.13,ENST00000600128.6,FBN3,-
chr19,ENSG00000090661.13,ENST00000251363.10,CERS4,+
chr19,ENSG00000167775.11,ENST00000301458.10,CD320,-
chr19,ENSG00000233927.5,ENST00000600659.3,RPS28,+
chr19,ENSG00000186994.12,ENST00000330915.7,KANK3,-
chr19,ENSG00000167772.12,ENST00000301455.7,ANGPTL4,+
chr19,ENSG00000185236.12,ENST00000328024.11,RAB11B,+
chr19,ENSG00000099785.11,ENST00000215555.7,MARCHF2,+
chr19,ENSG00000099783.13,ENST00000325495.9,HNRNPM,+
chr19,ENSG00000133246.12,ENST00000423345.5,PRAM1,-
chr19,ENSG00000133250.14,ENST00000393927.9,ZNF414,-
chr19,ENSG00000142347.21,ENST00000644032.2,MYO1F,-
chr19,ENSG00000142303.14,ENST00000597188.6,ADAMTS10,-
chr19,ENSG00000268480.4,ENST00000691075.1,NFILZ,+
chr19,ENSG00000181786.6,ENST00000324436.5,ACTL9,-
chr19,ENSG00000181733.4,ENST00000641125.1,OR2Z1,+
chr19,ENSG00000167785.9,ENST00000601372.6,ZNF558,-
chr19,ENSG00000170948.4,ENST00000595891.2,MBD3L1,+
chr19,ENSG00000181143.17,ENST00000397910.8,MUC16,-
chr19,ENSG00000170929.6,ENST00000641627.1,OR1M1,+
chr19,ENSG00000170923.4,ENST00000641081.1,OR7G2,-
chr19,ENSG00000161807.3,ENST00000541538.1,OR7G1,-
chr19,ENSG00000170920.2,ENST00000305444.2,OR7G3,-
chr19,ENSG00000130803.15,ENST00000247956.11,ZNF317,+
chr19,ENSG00000188000.6,ENST00000641288.2,OR7D2,+
chr19,ENSG00000174667.4,ENST00000641669.1,OR7D4,-
chr19,ENSG00000237521.4,ENST00000456448.3,OR7E24,+
chr19,ENSG00000196110.8,ENST00000591998.6,ZNF699,-
chr19,ENSG00000188321.14,ENST00000603380.6,ZNF559,+
chr19,ENSG00000188629.14,ENST00000683217.1,ZNF177,+
chr19,ENSG00000174652.20,ENST00000592904.7,ZNF266,-
chr19,ENSG00000198028.4,ENST00000301480.5,ZNF560,-
chr19,ENSG00000130818.12,ENST00000253115.7,ZNF426,-
chr19,ENSG00000197961.12,ENST00000320451.7,ZNF121,-
chr19,ENSG00000171469.11,ENST00000302851.8,ZNF561,-
chr19,ENSG00000171466.10,ENST00000453372.7,ZNF562,-
chr19,ENSG00000196605.7,ENST00000397902.7,ZNF846,-
chr19,ENSG00000127452.9,ENST00000247977.9,FBXL12,-
chr19,ENSG00000198258.11,ENST00000586895.6,UBL5,+
chr19,ENSG00000127445.14,ENST00000247970.9,PIN1,+
chr19,ENSG00000105088.9,ENST00000264833.9,OLFM2,-
chr19,ENSG00000080573.7,ENST00000264828.4,COL5A3,-
chr19,ENSG00000080511.5,ENST00000591589.3,RDH8,+
chr19,ENSG00000130813.18,ENST00000253110.16,SHFL,+
chr19,ENSG00000130812.11,ENST00000253109.5,ANGPTL6,-
chr19,ENSG00000130810.20,ENST00000253107.12,PPAN,+
chr19,ENSG00000244165.2,ENST00000321826.5,P2RY11,+
chr19,ENSG00000130811.12,ENST00000253108.9,EIF3G,-
chr19,ENSG00000130816.17,ENST00000359526.9,DNMT1,-
chr19,ENSG00000267534.4,ENST00000646641.1,S1PR2,-
chr19,ENSG00000105364.14,ENST00000253099.11,MRPL4,+
chr19,ENSG00000090339.9,ENST00000264832.8,ICAM1,+
chr19,ENSG00000105371.10,ENST00000380770.5,ICAM4,+
chr19,ENSG00000105376.5,ENST00000221980.5,ICAM5,+
chr19,ENSG00000220201.8,ENST00000707000.1,ZGLP1,-
chr19,ENSG00000267673.7,ENST00000393708.3,FDX2,-
chr19,ENSG00000161847.15,ENST00000617231.5,RAVER1,-
chr19,ENSG00000076662.11,ENST00000160262.10,ICAM3,-
chr19,ENSG00000105397.16,ENST00000525621.6,TYK2,-
chr19,ENSG00000105401.10,ENST00000222005.7,CDC37,-
chr19,ENSG00000065989.16,ENST00000380702.7,PDE4A,+
chr19,ENSG00000079999.14,ENST00000171111.10,KEAP1,-
chr19,ENSG00000180739.15,ENST00000333430.6,S1PR5,-
chr19,ENSG00000130734.10,ENST00000309469.9,ATG4D,+
chr19,ENSG00000129347.21,ENST00000312962.12,KRI1,-
chr19,ENSG00000129355.7,ENST00000393599.3,CDKN2D,-
chr19,ENSG00000129354.12,ENST00000250244.11,AP1M2,-
chr19,ENSG00000129353.15,ENST00000335757.10,SLC44A2,+
chr19,ENSG00000129351.18,ENST00000588657.6,ILF3,+
chr19,ENSG00000213339.9,ENST00000250237.10,QTRT1,+
chr19,ENSG00000079805.19,ENST00000389253.9,DNM2,+
chr19,ENSG00000099203.7,ENST00000214869.7,TMED1,-
chr19,ENSG00000214212.9,ENST00000397820.5,C19orf38,+
chr19,ENSG00000142453.13,ENST00000327064.9,CARM1,+
chr19,ENSG00000130733.11,ENST00000586748.6,YIPF2,-
chr19,ENSG00000142444.7,ENST00000270502.7,TIMM29,+
chr19,ENSG00000127616.22,ENST00000344626.10,SMARCA4,+
chr19,ENSG00000130164.16,ENST00000558518.6,LDLR,+
